No.	単語	品詞	意味	用例	追加
322	each	代	それぞれ・めいめい	each of the students	
323	ear	名	耳	Dogs have good ears.	
324	early	副	早く	get up early	
325	early	形	早い	early lunch	
326	earn	動	・・・を得る・かせぐ	earn money	
327	earth	名	地球	live on the earth	
328	earthquake	名	地震	a big earthquake	
329	easily	副	簡単に・容易に	make friends easily	
330	east	名	東	from the east	
331	eastern	形	東の、東からの	the eastern half	
332	easy	形	簡単な・容易な	an easy question	
333	eat	動	・・・を食べる　《活用》ate-eaten	eat lunch	
334	effort	名	努力	make an effort	
335	egg	名	卵	a big egg	
336	eight	名・形	８（の）	eight students	
337	eighteen	名・形	１８（の）	eighteen students	
338	eighteenth	名・形	１８番め（の）	in the eighteenth century 	
339	eighth	名・形	８番め（の）	in the eighth century 	
340	eighty	名・形	８０（の）	eighty years old	
341	either	副	（否定文のあとで）・・・もまた～でない	I didn't have any money and she didn't either.	
342	electricity	名	電気、電力	cannot live without electricity	
343	elephant	名	象	see a big elephant	
344	eleven	名・形	１１（の）	eleven players	
345	eleventh	名・形	１１番め(の)	in the eleventh century	
346	else	副	そのほかに（の）	someone else	
347	e-mail (email)	名	電子メール	send an e-mail	
348	empty	形	からの、空いている	find an empty box	
349	encourage	動	・・・を勇気づける、励ます	encourage students	
350	end	名	終わり、端	at the end of the year	
351	end	動	終わる、済む、 ・・・を終える、終わらせる	This class ends at eleven.	
352	energy	名	エネルギー	the energy of the sun	
353	engineer	名	技術者、技師、工学者	become an engineer	
354	England	名	英国、イギリス	go to England	
355	English	名・形	イングランド（英国・イギリス）人（の）、英語（の）、英国の	speak English	
356	enjoy	動	・・・を楽しむ、・・・して楽しむ	enjoy walking	
357	enough	形	十分な、必要なだけの	enough food	
358	enter	動	入る、 ・・・に入る	enter the room	
359	entertainment	名	娯楽、気晴らし	good entertainment	
360	entrance	名	入口、玄関	the back entrance	
361	environment	名	環境	the natural environment	
362	equal	形	等しい、平等な	All men are equal.	
363	eraser	名	消しゴム、消すもの	a black eraser	
364	especially	副	特に	This question is especially important.	
365	Europe	名	ヨーロッパ	go to Europe	
366	even	副	・・・（で）さえ、・・・すら	even a child	
367	evening	名	夕方、晩	in the evening	
368	event	名	出来事、行事、催し物、イベント	sports events	
369	ever	副	かつて、これまでに	Have you ever been to…?	
370	every	形	すべての、どの・・・も、毎・・・	every week	
371	everybody	代	みんな、すべての人	everybody in the room	
